year,synch,asynch,ns,interval,obs
1904,1,0,0,short,5
1905,0.818181818181818,0,0.181818181818182,short,11
1906,0.8125,0.0625,0.125,short,16
1907,0.578947368421053,0,0.421052631578947,short,19
1908,0.368421052631579,0,0.631578947368421,short,19
1909,0.421052631578947,0,0.578947368421053,short,19
1910,0.578947368421053,0,0.421052631578947,short,19
1911,0.631578947368421,0,0.368421052631579,short,19
1912,0.684210526315789,0,0.315789473684211,short,19
1913,0.684210526315789,0,0.315789473684211,short,19
1914,0.736842105263158,0.0526315789473684,0.210526315789474,short,19
1915,0.789473684210526,0,0.210526315789474,short,19
1916,0.842105263157895,0,0.157894736842105,short,19
1917,0.842105263157895,0,0.157894736842105,short,19
1918,0.789473684210526,0,0.210526315789474,short,19
1919,0.421052631578947,0.0526315789473684,0.526315789473684,short,19
1920,0.315789473684211,0,0.684210526315789,short,19
1921,0.315789473684211,0,0.684210526315789,short,19
1922,0.421052631578947,0,0.578947368421053,short,19
1923,0.578947368421053,0,0.421052631578947,short,19
1924,0.684210526315789,0,0.315789473684211,short,19
1925,0.684210526315789,0,0.315789473684211,short,19
1926,0.368421052631579,0,0.631578947368421,short,19
1927,0.263157894736842,0,0.736842105263158,short,19
1928,0.157894736842105,0,0.842105263157895,short,19
1929,0,0,1,short,19
1930,0.105263157894737,0,0.894736842105263,short,19
1931,0.263157894736842,0,0.736842105263158,short,19
1932,0.210526315789474,0,0.789473684210526,short,19
1933,0.210526315789474,0,0.789473684210526,short,19
1934,0.157894736842105,0.105263157894737,0.736842105263158,short,19
1935,0.157894736842105,0.0526315789473684,0.789473684210526,short,19
1936,0,0,1,short,19
1937,0,0.0526315789473684,0.947368421052632,short,19
1938,0.315789473684211,0,0.684210526315789,short,19
1939,0.526315789473684,0,0.473684210526316,short,19
1940,0.842105263157895,0,0.157894736842105,short,19
1941,0.947368421052632,0,0.0526315789473684,short,19
1942,0.894736842105263,0,0.105263157894737,short,19
1943,0.894736842105263,0,0.105263157894737,short,19
1944,1,0,0,short,19
1945,0.947368421052632,0,0.0526315789473684,short,19
1946,0.947368421052632,0,0.0526315789473684,short,19
1947,0.789473684210526,0,0.210526315789474,short,19
1948,0.736842105263158,0,0.263157894736842,short,19
1949,0.684210526315789,0,0.315789473684211,short,19
1950,0.684210526315789,0,0.315789473684211,short,19
1951,0.526315789473684,0,0.473684210526316,short,19
1952,0.473684210526316,0.0526315789473684,0.473684210526316,short,19
1953,0.473684210526316,0,0.526315789473684,short,19
1954,0.473684210526316,0,0.526315789473684,short,19
1955,0.473684210526316,0,0.526315789473684,short,19
1956,0.526315789473684,0,0.473684210526316,short,19
1957,0.578947368421053,0,0.421052631578947,short,19
1958,0.684210526315789,0,0.315789473684211,short,19
1959,0.631578947368421,0,0.368421052631579,short,19
1960,0.473684210526316,0,0.526315789473684,short,19
1961,0.210526315789474,0,0.789473684210526,short,19
1962,0.157894736842105,0,0.842105263157895,short,19
1963,0.368421052631579,0,0.631578947368421,short,19
1964,0.578947368421053,0,0.421052631578947,short,19
1965,0.473684210526316,0.0526315789473684,0.473684210526316,short,19
1966,0.421052631578947,0,0.578947368421053,short,19
1967,0.421052631578947,0.0526315789473684,0.526315789473684,short,19
1968,0.368421052631579,0,0.631578947368421,short,19
1969,0.473684210526316,0,0.526315789473684,short,19
1970,0.684210526315789,0.0526315789473684,0.263157894736842,short,19
1971,0.684210526315789,0,0.315789473684211,short,19
1972,0.684210526315789,0,0.315789473684211,short,19
1973,0.789473684210526,0,0.210526315789474,short,19
1974,0.789473684210526,0,0.210526315789474,short,19
1975,1,0,0,short,19
1976,0.842105263157895,0,0.157894736842105,short,19
1977,0.578947368421053,0,0.421052631578947,short,19
1978,0.526315789473684,0,0.473684210526316,short,19
1979,0.421052631578947,0,0.578947368421053,short,19
1980,0.368421052631579,0,0.631578947368421,short,19
1981,0.368421052631579,0,0.631578947368421,short,19
1982,0.315789473684211,0,0.684210526315789,short,19
1983,0.263157894736842,0.0526315789473684,0.684210526315789,short,19
1984,0.368421052631579,0.0526315789473684,0.578947368421053,short,19
1985,0.421052631578947,0.0526315789473684,0.526315789473684,short,19
1986,0.526315789473684,0,0.473684210526316,short,19
1987,0.526315789473684,0,0.473684210526316,short,19
1988,0.578947368421053,0,0.421052631578947,short,19
1989,0.578947368421053,0,0.421052631578947,short,19
1990,0.684210526315789,0,0.315789473684211,short,19
1991,0.684210526315789,0,0.315789473684211,short,19
1992,0.789473684210526,0,0.210526315789474,short,19
1993,0.789473684210526,0.0526315789473684,0.157894736842105,short,19
1994,0.894736842105263,0,0.105263157894737,short,19
1995,0.894736842105263,0,0.105263157894737,short,19
1996,0.947368421052632,0,0.0526315789473684,short,19
1997,0.842105263157895,0,0.157894736842105,short,19
1998,0.789473684210526,0,0.210526315789474,short,19
1999,0.842105263157895,0,0.157894736842105,short,19
2000,1,0,0,short,19
2001,0.947368421052632,0,0.0526315789473684,short,19
2002,0.684210526315789,0,0.315789473684211,short,19
2003,0.526315789473684,0.0526315789473684,0.421052631578947,short,19
2004,0.263157894736842,0,0.736842105263158,short,19
2005,0.105263157894737,0,0.894736842105263,short,19
2006,0.105263157894737,0,0.894736842105263,short,19
2007,0.315789473684211,0,0.684210526315789,short,19
2008,0.473684210526316,0,0.526315789473684,short,19
2009,0.526315789473684,0,0.473684210526316,short,19
2010,0.736842105263158,0,0.263157894736842,short,19
2011,0.631578947368421,0.0526315789473684,0.315789473684211,short,19
2012,0.578947368421053,0,0.421052631578947,short,19
2013,0.4375,0,0.5625,short,16
2014,0.454545454545455,0,0.545454545454545,short,11
2015,0,0,1,short,5
1907,0,0,1,medium,1
1908,0.5,0,0.5,medium,4
1909,0.571428571428571,0,0.428571428571429,medium,7
1910,0.222222222222222,0,0.777777777777778,medium,9
1911,0.363636363636364,0.0909090909090909,0.545454545454545,medium,11
1912,0.461538461538462,0,0.538461538461538,medium,13
1913,0.5,0,0.5,medium,14
1914,0.5,0.0714285714285714,0.428571428571429,medium,14
1915,0.5,0,0.5,medium,14
1916,0.571428571428571,0,0.428571428571429,medium,14
1917,0.714285714285714,0,0.285714285714286,medium,14
1918,0.857142857142857,0,0.142857142857143,medium,14
1919,0.928571428571429,0,0.0714285714285714,medium,14
1920,0.928571428571429,0,0.0714285714285714,medium,14
1921,0.928571428571429,0,0.0714285714285714,medium,14
1922,0.928571428571429,0,0.0714285714285714,medium,14
1923,0.928571428571429,0,0.0714285714285714,medium,14
1924,1,0,0,medium,14
1925,1,0,0,medium,14
1926,1,0,0,medium,14
1927,1,0,0,medium,14
1928,0.928571428571429,0,0.0714285714285714,medium,14
1929,0.857142857142857,0,0.142857142857143,medium,14
1930,0.714285714285714,0,0.285714285714286,medium,14
1931,0.642857142857143,0,0.357142857142857,medium,14
1932,0.642857142857143,0,0.357142857142857,medium,14
1933,0.642857142857143,0,0.357142857142857,medium,14
1934,0.571428571428571,0,0.428571428571429,medium,14
1935,0.5,0,0.5,medium,14
1936,0.428571428571429,0,0.571428571428571,medium,14
1937,0.428571428571429,0,0.571428571428571,medium,14
1938,0.428571428571429,0,0.571428571428571,medium,14
1939,0.5,0,0.5,medium,14
1940,0.5,0,0.5,medium,14
1941,0.5,0,0.5,medium,14
1942,0.5,0.0714285714285714,0.428571428571429,medium,14
1943,0.5,0,0.5,medium,14
1944,0.5,0,0.5,medium,14
1945,0.571428571428571,0,0.428571428571429,medium,14
1946,0.5,0,0.5,medium,14
1947,0.5,0,0.5,medium,14
1948,0.428571428571429,0,0.571428571428571,medium,14
1949,0.428571428571429,0,0.571428571428571,medium,14
1950,0.428571428571429,0,0.571428571428571,medium,14
1951,0.357142857142857,0,0.642857142857143,medium,14
1952,0.357142857142857,0,0.642857142857143,medium,14
1953,0.428571428571429,0,0.571428571428571,medium,14
1954,0.428571428571429,0,0.571428571428571,medium,14
1955,0.357142857142857,0,0.642857142857143,medium,14
1956,0.214285714285714,0,0.785714285714286,medium,14
1957,0.142857142857143,0,0.857142857142857,medium,14
1958,0.0714285714285714,0,0.928571428571429,medium,14
1959,0.142857142857143,0,0.857142857142857,medium,14
1960,0.428571428571429,0.0714285714285714,0.5,medium,14
1961,0.428571428571429,0,0.571428571428571,medium,14
1962,0.5,0,0.5,medium,14
1963,0.5,0,0.5,medium,14
1964,0.5,0,0.5,medium,14
1965,0.5,0,0.5,medium,14
1966,0.5,0,0.5,medium,14
1967,0.428571428571429,0,0.571428571428571,medium,14
1968,0.428571428571429,0,0.571428571428571,medium,14
1969,0.5,0,0.5,medium,14
1970,0.5,0,0.5,medium,14
1971,0.5,0,0.5,medium,14
1972,0.5,0,0.5,medium,14
1973,0.5,0,0.5,medium,14
1974,0.5,0,0.5,medium,14
1975,0.5,0,0.5,medium,14
1976,0.428571428571429,0,0.571428571428571,medium,14
1977,0.428571428571429,0,0.571428571428571,medium,14
1978,0.428571428571429,0,0.571428571428571,medium,14
1979,0.5,0,0.5,medium,14
1980,0.571428571428571,0.0714285714285714,0.357142857142857,medium,14
1981,0.642857142857143,0,0.357142857142857,medium,14
1982,0.714285714285714,0,0.285714285714286,medium,14
1983,0.714285714285714,0,0.285714285714286,medium,14
1984,0.714285714285714,0,0.285714285714286,medium,14
1985,0.642857142857143,0,0.357142857142857,medium,14
1986,0.428571428571429,0,0.571428571428571,medium,14
1987,0.357142857142857,0,0.642857142857143,medium,14
1988,0.214285714285714,0,0.785714285714286,medium,14
1989,0.214285714285714,0,0.785714285714286,medium,14
1990,0.214285714285714,0,0.785714285714286,medium,14
1991,0.214285714285714,0,0.785714285714286,medium,14
1992,0.285714285714286,0,0.714285714285714,medium,14
1993,0.285714285714286,0.0714285714285714,0.642857142857143,medium,14
1994,0.428571428571429,0.142857142857143,0.428571428571429,medium,14
1995,0.5,0.0714285714285714,0.428571428571429,medium,14
1996,0.5,0.0714285714285714,0.428571428571429,medium,14
1997,0.5,0,0.5,medium,14
1998,0.5,0,0.5,medium,14
1999,0.5,0,0.5,medium,14
2000,0.5,0,0.5,medium,14
2001,0.5,0,0.5,medium,14
2002,0.642857142857143,0,0.357142857142857,medium,14
2003,0.714285714285714,0,0.285714285714286,medium,14
2004,0.714285714285714,0,0.285714285714286,medium,14
2005,0.785714285714286,0,0.214285714285714,medium,14
2006,0.785714285714286,0,0.214285714285714,medium,14
2007,0.769230769230769,0,0.230769230769231,medium,13
2008,0.636363636363636,0,0.363636363636364,medium,11
2009,0.555555555555556,0,0.444444444444444,medium,9
2010,0.428571428571429,0,0.571428571428571,medium,7
2011,0.75,0,0.25,medium,4
2012,1,0,0,medium,1
1913,1,0,0,long,1
1914,1,0,0,long,3
1915,1,0,0,long,4
1916,1,0,0,long,5
1917,1,0,0,long,7
1918,1,0,0,long,8
1919,0.777777777777778,0,0.222222222222222,long,9
1920,0.7,0,0.3,long,10
1921,0.636363636363636,0,0.363636363636364,long,11
1922,0.583333333333333,0,0.416666666666667,long,12
1923,0.538461538461538,0,0.461538461538462,long,13
1924,0.571428571428571,0,0.428571428571429,long,14
1925,0.533333333333333,0,0.466666666666667,long,15
1926,0.533333333333333,0,0.466666666666667,long,15
1927,0.533333333333333,0,0.466666666666667,long,15
1928,0.6,0,0.4,long,15
1929,0.6,0,0.4,long,15
1930,0.733333333333333,0,0.266666666666667,long,15
1931,0.733333333333333,0,0.266666666666667,long,15
1932,0.8,0,0.2,long,15
1933,0.8,0,0.2,long,15
1934,0.8,0,0.2,long,15
1935,0.733333333333333,0,0.266666666666667,long,15
1936,0.8,0,0.2,long,15
1937,0.733333333333333,0,0.266666666666667,long,15
1938,0.733333333333333,0,0.266666666666667,long,15
1939,0.666666666666667,0,0.333333333333333,long,15
1940,0.666666666666667,0,0.333333333333333,long,15
1941,0.666666666666667,0,0.333333333333333,long,15
1942,0.666666666666667,0,0.333333333333333,long,15
1943,0.6,0,0.4,long,15
1944,0.6,0,0.4,long,15
1945,0.6,0,0.4,long,15
1946,0.533333333333333,0,0.466666666666667,long,15
1947,0.533333333333333,0,0.466666666666667,long,15
1948,0.533333333333333,0,0.466666666666667,long,15
1949,0.533333333333333,0,0.466666666666667,long,15
1950,0.466666666666667,0,0.533333333333333,long,15
1951,0.4,0,0.6,long,15
1952,0.333333333333333,0,0.666666666666667,long,15
1953,0.2,0,0.8,long,15
1954,0.2,0,0.8,long,15
1955,0.2,0,0.8,long,15
1956,0.2,0,0.8,long,15
1957,0.2,0,0.8,long,15
1958,0.266666666666667,0,0.733333333333333,long,15
1959,0.266666666666667,0,0.733333333333333,long,15
1960,0.266666666666667,0,0.733333333333333,long,15
1961,0.266666666666667,0,0.733333333333333,long,15
1962,0.333333333333333,0,0.666666666666667,long,15
1963,0.466666666666667,0,0.533333333333333,long,15
1964,0.533333333333333,0,0.466666666666667,long,15
1965,0.533333333333333,0,0.466666666666667,long,15
1966,0.6,0,0.4,long,15
1967,0.666666666666667,0,0.333333333333333,long,15
1968,0.666666666666667,0,0.333333333333333,long,15
1969,0.733333333333333,0,0.266666666666667,long,15
1970,0.733333333333333,0,0.266666666666667,long,15
1971,0.666666666666667,0,0.333333333333333,long,15
1972,0.666666666666667,0,0.333333333333333,long,15
1973,0.733333333333333,0,0.266666666666667,long,15
1974,0.733333333333333,0,0.266666666666667,long,15
1975,0.8,0,0.2,long,15
1976,0.8,0,0.2,long,15
1977,0.8,0,0.2,long,15
1978,0.8,0,0.2,long,15
1979,0.8,0,0.2,long,15
1980,0.8,0,0.2,long,15
1981,0.8,0,0.2,long,15
1982,0.8,0,0.2,long,15
1983,0.866666666666667,0,0.133333333333333,long,15
1984,0.866666666666667,0,0.133333333333333,long,15
1985,0.933333333333333,0,0.0666666666666667,long,15
1986,1,0,0,long,15
1987,1,0,0,long,15
1988,1,0,0,long,15
1989,1,0,0,long,15
1990,1,0,0,long,15
1991,1,0,0,long,15
1992,1,0,0,long,15
1993,1,0,0,long,15
1994,1,0,0,long,15
1995,1,0,0,long,14
1996,1,0,0,long,13
1997,1,0,0,long,12
1998,0.909090909090909,0,0.0909090909090909,long,11
1999,0.9,0,0.1,long,10
2000,0.666666666666667,0,0.333333333333333,long,9
2001,0.5,0,0.5,long,8
2002,0.428571428571429,0,0.571428571428571,long,7
2003,0.2,0,0.8,long,5
2004,0,0,1,long,4
2005,0,0.333333333333333,0.666666666666667,long,3
2006,0,0,1,long,1
1926,0,0,1,xlong,1
1927,0,0,1,xlong,2
1928,0,0,1,xlong,2
1929,0,0,1,xlong,3
1930,0,0,1,xlong,4
1931,0,0,1,xlong,5
1932,0,0,1,xlong,5
1933,0,0,1,xlong,6
1934,0,0,1,xlong,7
1935,0,0,1,xlong,7
1936,0.125,0,0.875,xlong,8
1937,0.25,0,0.75,xlong,8
1938,0.25,0,0.75,xlong,8
1939,0.25,0,0.75,xlong,8
1940,0.25,0,0.75,xlong,8
1941,0.25,0,0.75,xlong,8
1942,0.25,0,0.75,xlong,8
1943,0.25,0,0.75,xlong,8
1944,0.25,0,0.75,xlong,8
1945,0.25,0,0.75,xlong,8
1946,0.25,0,0.75,xlong,8
1947,0.25,0,0.75,xlong,8
1948,0.25,0,0.75,xlong,8
1949,0.25,0,0.75,xlong,8
1950,0.25,0.125,0.625,xlong,8
1951,0.25,0.125,0.625,xlong,8
1952,0.25,0.125,0.625,xlong,8
1953,0.25,0.125,0.625,xlong,8
1954,0.25,0.125,0.625,xlong,8
1955,0.25,0,0.75,xlong,8
1956,0.25,0,0.75,xlong,8
1957,0.25,0,0.75,xlong,8
1958,0.375,0,0.625,xlong,8
1959,0.375,0,0.625,xlong,8
1960,0.375,0,0.625,xlong,8
1961,0.375,0,0.625,xlong,8
1962,0.375,0,0.625,xlong,8
1963,0.375,0,0.625,xlong,8
1964,0.375,0,0.625,xlong,8
1965,0.375,0,0.625,xlong,8
1966,0.5,0,0.5,xlong,8
1967,0.5,0,0.5,xlong,8
1968,0.5,0,0.5,xlong,8
1969,0.625,0,0.375,xlong,8
1970,0.625,0,0.375,xlong,8
1971,0.625,0,0.375,xlong,8
1972,0.625,0,0.375,xlong,8
1973,0.75,0,0.25,xlong,8
1974,0.75,0,0.25,xlong,8
1975,0.75,0,0.25,xlong,8
1976,0.75,0,0.25,xlong,8
1977,0.75,0,0.25,xlong,8
1978,0.75,0,0.25,xlong,8
1979,0.75,0,0.25,xlong,8
1980,0.75,0,0.25,xlong,8
1981,0.75,0,0.25,xlong,8
1982,0.75,0,0.25,xlong,8
1983,0.75,0,0.25,xlong,8
1984,0.714285714285714,0,0.285714285714286,xlong,7
1985,0.857142857142857,0,0.142857142857143,xlong,7
1986,1,0,0,xlong,6
1987,1,0,0,xlong,5
1988,1,0,0,xlong,5
1989,1,0,0,xlong,4
1990,1,0,0,xlong,3
1991,1,0,0,xlong,2
1992,1,0,0,xlong,2
1993,1,0,0,xlong,1
